alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,L_Nm,M_Nm,N_Nm,p_dot,q_dot,r_dot,V,qbar,alpha_eff_deg,beta_eff_deg
5.0,-4.0,-10.0,10.0,0.4439799785614013,0.0339422990876436,-0.0002297731261933,-0.014644362963736,-0.1282410025596618,-0.0010705012828111,-3.4961719660361426,-3.004200236784271,-0.2555697768375511,-4.370214957545178,-25.03500197320226,-1.4198320935419506,20.22374841615669,250.5125000000001,5.0,-4.0
7.5,-4.0,20.0,10.0,0.3678954243659973,0.0325494912761449,-0.0006811125786043,-0.0165465921163558,0.0642500221729278,-0.0014740286860615,-3.950307134143824,1.5051343016092331,-0.3519072684897839,-4.9378839176797795,12.54278584674361,-1.9550403804987992,20.22374841615669,250.5125000000001,7.499999999999999,-4.0
-10.0,-2.0,10.0,0.0,-0.8447372317314148,0.055291328703165,0.0032190789934247,-0.0022682328708469,0.3460364043712616,-0.0020774283912032,-0.5415143147663274,8.106320343717554,-0.4959619561983012,-0.6768928934579093,67.55266953097963,-2.7553442011016736,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-5.0,6.0,10.0,-5.0,-0.4936574697494507,0.0340395310270786,-0.004774278961122,0.0112653635442256,0.2618210911750793,0.0029648507479578,2.6894750087838166,6.1334750072415805,0.7078237608668893,3.3618437609797707,51.11229172701317,3.9323542270382736,20.22374841615669,250.5125000000001,-5.000000000000002,6.000000000000001
15.0,6.0,0.0,10.0,1.0853135585784912,0.0806945340085029,-0.00642870971933,-0.0459419563412666,-0.2942018508911133,-0.0051560560241341,-10.968109724058312,-6.892033378312541,-1.2309486299628518,-13.71013715507289,-57.433611485937845,-6.838603499793621,20.223748416156692,250.5125000000002,14.999999999999996,6.0
17.5,2.0,-20.0,5.0,1.4889473915100098,0.1303576753783226,-0.0002492661296855,-0.0213333722203969,-0.5203039050102234,-0.0029894870240241,-5.093095417169181,-12.188746839407235,-0.7137053863048702,-6.366369271461476,-101.57289032839364,-3.9650299239159454,20.22374841615669,250.5125000000001,17.500000000000007,2.0
-7.5,-2.0,20.0,10.0,-0.7272606492042542,0.0498253667104244,-0.0084972158074378,-0.0231064744293689,0.3615511655807495,0.0013602739199995,-5.516403023739398,8.469772347124277,0.3247496362258567,-6.895503779674248,70.58143622603565,1.804164645699204,20.223748416156695,250.5125000000003,-7.499999999999998,-1.9999999999999996
-5.0,2.0,-10.0,5.0,-0.2908556461334228,0.0255549877259135,-0.0095710549503564,-0.0151775553822517,0.0794602334499359,0.0024951787199825,-3.6234654775896136,1.8614518553391168,0.5956950065124057,-4.5293318469870165,15.51209879449264,3.3094167028466983,20.223748416156692,250.5125000000002,-5.0,1.9999999999999996
-2.5,-4.0,-10.0,10.0,-0.1267847865819931,0.0241469825926423,-0.0024053691886365,-0.02080256678164,0.044701300561428,-0.0003100273315794,-4.966371769373982,1.0471819078982187,-0.0740154329728954,-6.207964711717477,8.726515899151824,-0.4111968498494188,20.22374841615669,250.5125000000001,-2.5000000000000004,-4.0
20.0,-2.0,0.0,5.0,1.4522790908813477,0.1236534343409538,0.0004338573780842,-0.0022844336926937,-0.4136644601821899,-0.001871666056104,-0.5453820732552098,-9.690589159659874,-0.4468385829644064,-0.6817275915690123,-80.7549096638323,-2.48243657202448,20.223748416156695,250.5125000000003,19.999999999999993,-1.9999999999999991
