alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,source_file
0.0,-6.0,-20.0,0.0,0.182304667485,0.0156705603,0.010774554597,-0.012160696162,-0.115721931609,0.001874153534,pitch_-20_cleaned.csv
0.0,-4.0,-20.0,0.0,0.182466497606,0.015476594679,0.007210877106,-0.008141131798,-0.115191948097,0.001257547875,pitch_-20_cleaned.csv
0.0,-2.0,-20.0,0.0,0.182586188012,0.015358257107,0.003586128847,-0.004069034185,-0.114912176572,0.000625749847,pitch_-20_cleaned.csv
0.0,0.0,-20.0,0.0,0.182675337092,0.015319193713,-2.10642e-07,1.27486e-07,-0.11489828182,-4.6459e-08,pitch_-20_cleaned.csv
0.0,2.0,-20.0,0.0,0.182586545177,0.015358243138,-0.003586554976,0.004069345522,-0.114912518704,-0.000625839524,pitch_-20_cleaned.csv
0.0,4.0,-20.0,0.0,0.182467582684,0.015476635657,-0.007211370724,0.008141469182,-0.115192585182,-0.001257642787,pitch_-20_cleaned.csv
0.0,6.0,-20.0,0.0,0.182306154215,0.015670612454,-0.01077505501,0.012161067503,-0.115722784344,-0.001874245758,pitch_-20_cleaned.csv
2.0,-6.0,-20.0,0.0,0.328128254883,0.019084664062,0.01007685826,-0.014152900362,-0.158785506509,0.001198545565,pitch_-20_cleaned.csv
2.0,-4.0,-20.0,0.0,0.329237814961,0.018911890686,0.00674149599,-0.009473484473,-0.158563303488,0.000804582572,pitch_-20_cleaned.csv
2.0,-2.0,-20.0,0.0,0.32992773235,0.018806692213,0.003353301472,-0.004737640478,-0.158465725413,0.000399365456,pitch_-20_cleaned.csv
2.0,0.0,-20.0,0.0,0.330203659419,0.018772322685,-4.10818e-07,3.04161e-07,-0.158506034946,-7.0801e-08,pitch_-20_cleaned.csv
2.0,2.0,-20.0,0.0,0.32992875008,0.01880669035,-0.00335412808,0.004738261159,-0.158466701797,-0.000399500659,pitch_-20_cleaned.csv
2.0,4.0,-20.0,0.0,0.329239224,0.018911881372,-0.006742182054,0.009474067404,-0.158564624966,-0.000804691793,pitch_-20_cleaned.csv
2.0,6.0,-20.0,0.0,0.328129320839,0.019084662199,-0.010077354247,0.014153412777,-0.158786534921,-0.001198629752,pitch_-20_cleaned.csv
4.0,-6.0,-20.0,0.0,0.473958094942,0.024585738778,0.009264622115,-0.016132252227,-0.20274535334,0.000569725452,pitch_-20_cleaned.csv
4.0,-4.0,-20.0,0.0,0.476051868584,0.024449547753,0.00616601522,-0.010783997679,-0.202891168082,0.000377673414,pitch_-20_cleaned.csv
4.0,-2.0,-20.0,0.0,0.477280220743,0.024368314072,0.003082263742,-0.005402401137,-0.20292624048,0.000188737866,pitch_-20_cleaned.csv
4.0,0.0,-20.0,0.0,0.477741161848,0.024341851473,-3.55801e-07,3.28089e-07,-0.203020112756,-5.0252e-08,pitch_-20_cleaned.csv
4.0,2.0,-20.0,0.0,0.477280641273,0.024368310347,-0.003082893303,0.005402989778,-0.202926728502,-0.000188823294,pitch_-20_cleaned.csv
4.0,4.0,-20.0,0.0,0.476052221335,0.024449553341,-0.006166601353,0.010784590818,-0.202891423134,-0.00037774998,pitch_-20_cleaned.csv
4.0,6.0,-20.0,0.0,0.473958796561,0.024585718289,-0.009265129194,0.016132810361,-0.20274607583,-0.000569780894,pitch_-20_cleaned.csv
