alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
8,-4,-20,0,0.768609824,0.041725391,0.004868169,0.01341004,-0.293561179,0.000364082
8,-2,-20,0,0.771019576,0.041719681,0.002459788,0.006732125,-0.294041295,0.000178902
8,0,-20,0,0.771838899,0.04171898,-3.85E-07,-4.92E-07,-0.294196919,-2.90E-09
8,2,-20,0,0.771018962,0.041720068,-0.002460757,-0.006733812,-0.294040128,-0.000178872
8,4,-20,0,0.768609522,0.041725795,-0.004869157,-0.013411784,-0.293560228,-0.000364027
8,6,-20,0,0.764626168,0.041738017,-0.007316759,-0.020052023,-0.292790292,-0.000540895
10,-6,-20,0,0.908970969,0.053306343,0.006175074,0.02197875,-0.338588317,0.001021935
10,-4,-20,0,0.91389408,0.053379617,0.004107314,0.014702244,-0.339674534,0.000685173
10,-2,-20,0,0.916868303,0.053425394,0.002072535,0.007377955,-0.340344932,0.000340837
10,0,-20,0,0.917881934,0.053442324,-6.62E-07,-9.25E-07,-0.340566541,-5.55E-08
10,2,-20,0,0.916868989,0.05342538,-0.002073837,-0.007379799,-0.340345788,-0.00034095
10,4,-20,0,0.913893002,0.053379944,-0.004108822,-0.014704878,-0.339673508,-0.000685246
10,6,-20,0,0.908969755,0.053306561,-0.006176481,-0.021981268,-0.338587475,-0.001022016
12,-6,-20,0,1.052328693,0.066795089,0.004932415,0.023885016,-0.38469966,0.001451185
12,-4,-20,0,1.058188025,0.066968867,0.003278195,0.01597971,-0.386104395,0.000971642
12,-2,-20,0,1.061726675,0.067074466,0.001650621,0.008014442,-0.386969592,0.000485269
12,0,-20,0,1.06293102,0.067112558,-1.14E-06,-2.86E-06,-0.387255024,-1.72E-07
12,2,-20,0,1.061725976,0.06707469,-0.00165292,-0.008020213,-0.386969458,-0.000485637
12,4,-20,0,1.058186158,0.066969295,-0.003280461,-0.015985323,-0.386103616,-0.000971958
12,6,-20,0,1.052326039,0.066795596,-0.004934486,-0.023890444,-0.384698822,-0.001451521
14,-6,-20,0,1.194452924,0.082136194,0.003594223,0.025769435,-0.430967626,0.001826986
14,-4,-20,0,1.201247819,0.082425572,0.002384786,0.017241717,-0.432696055,0.001222221
14,-2,-20,0,1.20534771,0.082599918,0.001196699,0.008644276,-0.433756263,0.000611448
14,0,-20,0,1.206743674,0.082661834,-1.50E-06,-3.58E-06,-0.434107695,-4.91E-07
14,2,-20,0,1.205346765,0.082599858,-0.001199727,-0.008651466,-0.433756291,-0.000612479
14,4,-20,0,1.201245516,0.08242542,-0.002387655,-0.017248804,-0.432695761,-0.001223142
14,6,-20,0,1.194449503,0.082135975,-0.003596904,-0.02577632,-0.430967019,-0.001827914
16,-6,-20,0,1.335116405,0.099251164,0.002166764,0.027626813,-0.477240926,0.002148103
16,-4,-20,0,1.342832394,0.099667004,0.001431498,0.018486851,-0.47928718,0.001436518
16,-2,-20,0,1.347488268,0.099919568,0.000712733,0.009265085,-0.480540548,0.000719038
16,0,-20,0,1.349076388,0.100008142,-2.02E-06,-4.77E-06,-0.480961407,-9.94E-07
16,2,-20,0,1.347487188,0.099919515,-0.0007167,-0.009274617,-0.48054076,-0.000721029
16,4,-20,0,1.342830249,0.099668088,-0.001435253,-0.018495926,-0.479287196,-0.001438172
16,6,-20,0,1.335111833,0.099250612,-0.002170244,-0.027635648,-0.477240784,-0.00214998
18,-6,-20,0,1.474072793,0.118047578,0.000657947,0.02945641,-0.523348019,0.002413293
18,-4,-20,0,1.482704341,0.11860606,0.000425439,0.019713452,-0.525713542,0.001612531
18,-2,-20,0,1.487908244,0.11894111,0.000201298,0.009876142,-0.527156893,0.000807617
18,0,-20,0,1.489603524,0.119046708,-2.60E-06,-6.44E-06,-0.527625715,-1.56E-06
18,2,-20,0,1.4879009,0.118936725,-0.000206922,-0.009888564,-0.527153874,-0.000810101
18,4,-20,0,1.482695666,0.118601671,-0.000430979,-0.019725397,-0.525711067,-0.001614996
18,6,-20,0,1.474062296,0.118043452,-0.000663035,-0.029467547,-0.523345556,-0.002415687
20,-6,-20,0,1.611087526,0.138428132,-0.000923475,0.031255009,-0.569115895,0.002620282
20,-4,-20,0,1.620609381,0.139131403,-0.000637037,0.020916856,-0.571787175,0.00175169
20,-2,-20,0,1.626365449,0.139558997,-0.000334612,0.010477633,-0.573433645,0.00087741
20,0,-20,0,1.628238268,0.139694159,-3.65E-06,-7.95E-06,-0.573965116,-1.57E-06
20,2,-20,0,1.62636436,0.139559148,0.000327353,-0.01049336,-0.573434551,-0.000880472
20,4,-20,0,1.620604979,0.13913133,0.000629787,-0.020932482,-0.57178775,-0.001754722
20,6,-20,0,1.61107544,0.138421221,0.000916911,-0.031270896,-0.569119314,-0.002624633
-10,-6,-18,0,-0.556090318,0.029687713,0.01257118,0.001703561,0.097023269,-0.005926809
-10,-4,-18,0,-0.560630007,0.029631915,0.008378242,0.001128088,0.098967441,-0.003964209
-10,-2,-18,0,-0.563362416,0.029598694,0.004161527,0.00055004,0.100138309,-0.001979553
-10,0,-18,0,-0.564353654,0.029591681,1.20E-06,8.63E-07,0.100626001,-3.98E-07
-10,2,-18,0,-0.563363182,0.029598511,-0.004160056,-0.00054889,0.1001403,0.001979023
-10,4,-18,0,-0.560630245,0.029631697,-0.008375853,-0.001126365,0.098967876,0.003963423
-10,6,-18,0,-0.556092105,0.029687798,-0.012568927,-0.001702242,0.097023796,0.005926119
-8,-6,-18,0,-0.413800444,0.022483048,0.012444305,0.00372534,0.060267809,-0.005031872
-8,-4,-18,0,-0.417421138,0.02236468,0.008296023,0.002481979,0.061948059,-0.003365305
-8,-2,-18,0,-0.419600374,0.022293817,0.004122416,0.001229409,0.062959891,-0.001679981
-8,0,-18,0,-0.420400537,0.022273398,7.85E-07,6.23E-07,0.063390791,-2.58E-07
-8,2,-18,0,-0.41960071,0.022293715,-0.004120607,-0.001228168,0.062960329,0.001679439
-8,4,-18,0,-0.417421568,0.022364596,-0.008294433,-0.002480699,0.061948605,0.003364792
-8,6,-18,0,-0.413801706,0.022483064,-0.012443402,-0.003724706,0.060267806,0.005031568
-6,-6,-18,0,-0.27023175,0.017313721,0.012159259,0.00572447,0.021939335,-0.004166203
-6,-4,-18,0,-0.272977112,0.017154324,0.008142111,0.003834489,0.023428641,-0.002794294
-6,-2,-18,0,-0.274598454,0.017055657,0.004047394,0.001908007,0.02427623,-0.001394366
-6,0,-18,0,-0.275205348,0.017025226,2.02E-07,7.80E-08,0.024647935,-6.43E-08
-6,2,-18,0,-0.274598731,0.017055638,-0.004047,-0.001907866,0.024276411,0.00139424
-6,4,-18,0,-0.272977913,0.017154291,-0.008141748,-0.003834372,0.023429205,0.002794179
-6,6,-18,0,-0.270232356,0.017313641,-0.012158864,-0.0057244,0.021938817,0.00416608
-4,-6,-18,0,-0.125723541,0.014224576,0.011822304,0.007742749,-0.0176988,-0.003357678
-4,-4,-18,0,-0.127532313,0.014034952,0.007914749,0.005184546,-0.016495872,-0.002252017
-4,-2,-18,0,-0.128592912,0.013918474,0.003935726,0.002585547,-0.01581659,-0.001123203
-4,0,-18,0,-0.129006269,0.013881464,-2.73E-07,-3.62E-07,-0.015506222,5.91E-08
-4,2,-18,0,-0.12859355,0.013918472,-0.003935899,-0.002585978,-0.015815676,0.001123237
-4,4,-18,0,-0.127533292,0.014034941,-0.007915016,-0.00518507,-0.016494978,0.002252083
-4,6,-18,0,-0.125724759,0.014224546,-0.011822612,-0.007743306,-0.017698083,0.003357764
-2,-6,-18,0,0.019537452,0.013232644,0.011373784,0.009756135,-0.058622671,-0.002593073
-2,-4,-18,0,0.018670072,0.013029457,0.007612804,0.006531513,-0.057714311,-0.001739318
-2,-2,-18,0,0.018172131,0.012905308,0.003787362,0.003262235,-0.057207439,-0.000867006
-2,0,-18,0,0.017954483,0.01286513,3.79E-08,-1.82E-09,-0.056961375,1.38E-08
-2,2,-18,0,0.018173124,0.012905243,-0.00378701,-0.003262019,-0.057208154,0.000866931
-2,4,-18,0,0.018670941,0.013029405,-0.007612538,-0.006531616,-0.057715035,0.001739267
-2,6,-18,0,0.019537624,0.013232543,-0.011373308,-0.009755928,-0.058623911,0.002592983
0,-6,-18,0,0.165312624,0.014349108,0.010810194,0.011760662,-0.100721098,-0.001873011
0,-4,-18,0,0.165390899,0.01414921,0.007233611,0.007872613,-0.100113684,-0.001256528
0,-2,-18,0,0.165459466,0.014027465,0.003599705,0.003935375,-0.099784143,-0.000625649
0,0,-18,0,0.165530298,0.013987405,1.07E-07,2.89E-07,-0.09974824,-2.57E-08
0,2,-18,0,0.165461635,0.014027575,-0.003599759,-0.003935331,-0.09978565,0.000625657
0,4,-18,0,0.165393935,0.014149346,-0.007233724,-0.007872708,-0.100115705,0.001256542
0,6,-18,0,0.165315326,0.014349246,-0.010810305,-0.011760818,-0.100722799,0.001873021
2,-6,-18,0,0.311361534,0.017573954,0.010132169,0.013755351,-0.143873783,-0.001198862
2,-4,-18,0,0.312389734,0.017394065,0.006777539,0.009206923,-0.143575564,-0.000804576
2,-2,-18,0,0.313028602,0.017284927,0.003373545,0.00460525,-0.143428652,-0.000399781
2,0,-18,0,0.313288569,0.017249311,-5.32E-07,-5.88E-07,-0.143445793,6.43E-08
2,2,-18,0,0.313028956,0.01728478,-0.003374389,-0.004606273,-0.143428626,0.000399871
2,4,-18,0,0.312390843,0.017394174,-0.006778073,-0.009207724,-0.143576677,0.000804647
