controller,heading_RMSE_deg,pitch_RMSE_deg,roll_RMSE_deg,mean_abs_heading_err_deg,mean_abs_pitch_err_deg,mean_abs_roll_err_deg,max_abs_heading_err_deg,max_abs_pitch_err_deg,max_abs_roll_err_deg,p_deg_s_RMS,p_deg_s_max_abs,q_deg_s_RMS,q_deg_s_max_abs,r_deg_s_RMS,r_deg_s_max_abs,deltaS_RMS_deg,deltaS_max_abs_deg,deltaS_step_RMS_deg,deltaD_RMS_deg,deltaD_max_abs_deg,deltaD_step_RMS_deg,alpha_max_abs_deg,alpha_RMS_deg,beta_max_abs_deg,beta_RMS_deg,mean_V_m_s,min_V_m_s,max_V_m_s
MPC,4.5898298778951325,7.918254016296108,5.996611923611762,2.956199243005091,5.938558124466117,4.094966452853677,18.936290783209863,30.98456276886462,17.87877082194165,11.89598001133005,55.34109929703992,22.38175122620348,136.5113214409342,13.119467192948447,70.56532151159237,8.668418252366575,20.0,0.7276831286782653,2.7966610115522084,10.0,0.5098464460880713,14.03624346792648,4.997259423458157,13.657283141524433,2.9136593315295465,23.630785072649,18.69248867208856,27.355872026274536
PID/GainSchedule,7.809133255994797,5.005334047567124,5.3665494744206805,4.471260544197368,4.493822793328771,3.451611934737072,31.374502328438126,8.927054868959932,20.05136061790415,5.534063873799671,27.551611224476545,14.86912898738117,128.612855514428,24.82025014912724,78.0302772349657,4.980255459265602,15.839999999999321,0.15881680404886714,3.8883699838703736,10.0,0.10244756932267574,14.03624346792648,3.6326627474885953,17.776467795775005,5.466951458455105,25.393040083104015,20.69008854920463,28.154577532113276
