t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,20.223748416156685,-8.403028502326988,-1.4760480746834115,250.51250000000002,0.0,0.0,10.0,0.0,0.0,0.0,0.0,-10.0,1.0,-0.6304511427879333,0.03986309853672981,0.015433994121849537,0.023842711001634598,0.22605198621749878,-0.004865907598286867,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.236496310695486,-2.0054119309313774,75.14422752864729,5.692170974226529,5.295540560081184,-1.1616790553866945
0.006,0.12004459150074286,-6.639869417831842e-05,-0.017498422030678192,20.014620549321158,-0.021926150303368773,-2.833907083026123,20.21426589922577,-7.88293108257133,-1.450710663442626,250.2776343298186,0.0012631758867162365,0.04481430172508789,10.007280128719811,0.04218459450636474,0.2546321896508934,-0.03768766547979884,-15.089810757316323,-10.0,1.0,-0.4349978566169739,0.030433811371326447,0.013789068907499313,0.024248415240890994,0.06451421095773935,-0.0041870848537649075,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.474218881891853,-1.7338086521113487,51.88438497611081,5.783600710608662,1.5099063156125618,-0.9986808084173862
0.012,0.24016507724884625,-0.0002451039530689309,-0.03410270825964759,20.025369268199466,-0.03745798903663543,-2.70184233845968,20.206849567673423,-7.405398488373773,-1.4140187373733726,250.09402128848248,0.00039561741417220377,0.14630042315916628,10.029168812716437,0.0849767103307763,0.3237966751314272,-0.06960519699249522,-19.428387754536747,-10.0,1.0,-0.363406240940094,0.028618816410303116,0.012917576357722282,0.02358257294791525,0.018644274510053425,-0.003817327734692956,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.159047767057782,-1.5936046775672275,43.385489253261575,5.620661057332071,0.436035017845414,-0.9098203740893801
0.018000000000000002,0.36034459612978564,-0.0005098699729364319,-0.04995194291296043,20.034323582124596,-0.05062496454339054,-2.5821686155992225,20.200105916546438,-6.9487003695065255,-1.367879976148785,249.9271209118128,-0.008095769838551523,0.264086052325018,10.065527440037979,0.12653077727289774,0.34062721173041366,-0.09821017769386244,-20.0,-9.428028080803832,1.0,-0.3259825110435486,0.02744688292324543,0.012000979855656624,0.02163294267712887,0.00507481197511955,-0.0034296619454239354,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.415841050985861,-1.46367180449878,38.931692937203614,5.152546103378282,0.1186057960338669,-0.8168787555417423
0.024,0.4805748781514219,-0.000849726160525604,-0.06510266568087542,20.042304437969708,-0.062495226083538837,-2.4689744978083548,20.193902740886212,-6.507311084497262,-1.313120834545366,249.77364609387766,-0.02505319259691961,0.3865952971451256,10.115506779323143,0.16461388416810355,0.3422519412315044,-0.12343733981625271,-20.0,-8.836334351094663,1.0,-0.2943266034126282,0.026434853796958924,0.011152359656989574,0.019675892440421387,-0.003354068917020555,-0.003073085529434867,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.812116725653959,-1.3464114653616217,35.16081182648374,4.6835369834302485,-0.07834137069223071,-0.7314997159053529
0.03,0.6008506469359656,-0.0012574992069684069,-0.07959072359343895,20.049498040234695,-0.07327051361792365,-2.3612489575036313,20.188195483322744,-6.082564150362714,-1.2505223937358694,249.6324825846224,-0.050090231988573604,0.5095201654601811,10.177879047885028,0.19922142977670873,0.33462663789522207,-0.14560310268951593,-20.0,-8.289859803196837,1.0,-0.2638247013092041,0.02557613340497017,0.01035664975643158,0.017846140065855595,-0.01112056920381047,-0.002746601740544387,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.272213636482317,-1.2381948841535426,31.527615098662654,4.245592365480385,-0.25959760609825966,-0.6534158836386633
0.036,0.7211673955773629,-0.0017267726692360838,-0.09344828566034931,20.055976039906128,-0.08300220745822551,-2.258772698877383,20.182941271899036,-5.676940202739191,-1.1807937920107061,249.50256001076687,-0.08273794435742994,0.6297136824423781,10.25145953967902,0.23058147562073505,0.3185595667078802,-0.16502556071842236,-20.0,-7.786172656535628,1.0,-0.23464107513427734,0.024857500692009926,0.009610631503164768,0.016138210557657365,-0.01823141158445131,-0.002448796061105715,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.7944734476841635,-1.1385764271840697,28.05151216963398,3.837278180266268,-0.42537099397220773,-0.5822647845392208
0.041999999999999996,0.8415210385693559,-0.002251440434658869,-0.10670612039694806,20.061807226885037,-0.09174241719506823,-2.161298725390398,20.17810045718337,-5.292563176020207,-1.1045868251073667,249.38288956186253,-0.12260118058741633,0.7443200890911662,10.3351447748648,0.258911582148303,0.29483529120920815,-0.18202064377102642,-19.443869153899893,-7.32305265092064,1.0,-0.21164244413375854,0.024143763010501862,0.008962505497038364,0.014561746944187541,-0.02040855322187568,-0.00218912870349137,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.4420911602316697,-1.0544195266904233,25.30708450529366,3.4607723550996354,-0.47593916185688895,-0.5202724733396155
0.047999999999999994,0.9619082146120563,-0.002826188545758127,-0.11939102444941127,20.067162998978628,-0.09970186272481377,-2.0677583381711484,20.173660942775957,-4.928044452524884,-1.022507390732876,249.27316494837652,-0.16921939927736301,0.8515999491119662,10.427916180036586,0.28444885989925756,0.26909341882532267,-0.19696341792532024,-18.253800577873875,-6.898150705678354,1.0,-0.19555062055587769,0.02337603097140789,0.008405488915741444,0.013109387057790028,-0.017042543286103384,-0.001964457100988328,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.2109371025077924,-0.9844174649564373,23.37988855776765,3.1142309375144612,-0.3972670120598771,-0.4666711763371454
0.05399999999999999,1.082326595901442,-0.0034470333249589607,-0.1315230357290072,20.07221624365594,-0.1071125077489752,-1.976972212801172,20.16962461603065,-4.57961473482209,-0.9350735898011476,249.1734262553486,-0.22188817970911143,0.9518556789083005,10.528844004117893,0.307417794456505,0.2476330942312998,-0.21016349671987464,-17.294397122238745,-6.508902492628407,1.0,-0.17873764038085938,0.022718362634181977,0.007854982279241085,0.011753235702946424,-0.015117075690950176,-0.0017542268283991217,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.9903045144947935,-0.9162234036980454,21.36932933447726,2.790950091234428,-0.3522427653486354,-0.4165626939259832
