variable,unit,rms_diff_B_minus_A,mean_abs_diff,max_abs_diff
pitch_deg,deg,0.3895959930674721,0.1316027659641705,3.0299034933820064
yaw_deg,deg,1.04081118845351,0.4655342331354983,5.711496096525719
roll_deg,deg,1.6336735598315275,0.6293103220996968,9.05406755949086
deltaS_deg,deg,0.5040328728136736,0.17053069687423802,3.1675306480585874
deltaD_deg,deg,0.7476431112887777,0.2609654947183193,9.003626125945557
p,deg/s,3.973631186658915,1.4721869657798796,35.75523944772142
q,deg/s,1.058066514545805,0.31264950034588823,11.996948353664372
r,deg/s,1.7837995331326253,0.9406365452884069,8.50481587985606
alpha_deg,deg,0.1713346236297029,0.05882882904877026,1.0453673587961276
beta_deg,deg,0.3841219138651281,0.20258532120734038,1.8873004104543414
V,,0.04180563374125028,0.02466693283211283,0.18326591590109942
ctrl_K_R,,0.003705813420257857,0.0016467674422493326,0.009999999999999998
ctrl_K_QD,,0.0,0.0,0.0
ctrl_K_P,,0.03163626826483742,0.00782781983854457,0.18000000000000002
ctrl_K_Q,,0.07572290597319506,0.06528832393600202,0.30079854674511197
ctrl_K_PHI,,0.06229551222041809,0.053457456001984434,0.22399999999999998
