case,pitch_err_rms_deg,pitch_err_mean_abs_deg,pitch_err_final_mean_deg,pitch_settling_time_s,heading_err_rms_deg,heading_err_mean_abs_deg,heading_err_final_mean_deg,heading_settling_time_s,roll_err_rms_deg,roll_err_mean_abs_deg,roll_settling_time_s,max_abs_p_deg_s,max_abs_q_deg_s,max_abs_r_deg_s,r_rms_deg_s,q_rms_deg_s,p_rms_deg_s,deltaS_rms_deg,deltaD_rms_deg,deltaS_mean_abs_deg,deltaD_mean_abs_deg,deltaS_max_abs_deg,deltaD_max_abs_deg,deltaS_total_variation_deg,deltaD_total_variation_deg,deltaS_max_rate_deg_s,deltaD_max_rate_deg_s,deltaS_sat_frac,deltaD_sat_frac,ctrl_q_cmd_saturated_mean,ctrl_phi_cmd_saturated_mean,ctrl_deltaS_saturated_mean,ctrl_deltaD_saturated_mean,ctrl_K_PSI_mean,ctrl_K_PSI_min,ctrl_K_PSI_max,ctrl_K_PHI_mean,ctrl_K_PHI_min,ctrl_K_PHI_max,ctrl_K_P_mean,ctrl_K_P_min,ctrl_K_P_max,ctrl_K_R_mean,ctrl_K_R_min,ctrl_K_R_max,ctrl_K_THETA_mean,ctrl_K_THETA_min,ctrl_K_THETA_max,ctrl_K_Q_mean,ctrl_K_Q_min,ctrl_K_Q_max,ctrl_K_QD_mean,ctrl_K_QD_min,ctrl_K_QD_max,ctrl_vel_scale_mean,ctrl_vel_scale_min,ctrl_vel_scale_max,ctrl_aero_scale_mean,ctrl_aero_scale_min,ctrl_aero_scale_max,ctrl_roll_damp_scale_mean,ctrl_roll_damp_scale_min,ctrl_roll_damp_scale_max,ctrl_pitch_damp_scale_mean,ctrl_pitch_damp_scale_min,ctrl_pitch_damp_scale_max,ctrl_yaw_accel_damp_scale_mean,ctrl_yaw_accel_damp_scale_min,ctrl_yaw_accel_damp_scale_max,ctrl_roll_accel_damp_scale_mean,ctrl_roll_accel_damp_scale_min,ctrl_roll_accel_damp_scale_max,ctrl_pitch_accel_damp_scale_mean,ctrl_pitch_accel_damp_scale_min,ctrl_pitch_accel_damp_scale_max
sim_out_20cross_noSched4,3.1592139245024002,2.926322939044577,2.924467397424463,,46.68055072660858,45.49369568369517,50.10465974649264,,4.387173036147638,2.023912894444539,11.442000000000212,68.08379631141946,91.85425225611515,95.01295075479378,19.02972722456412,5.49360185424366,10.662899575913746,3.2929501067967863,2.885241853704199,1.470475814383671,1.452051236169653,20.0,10.0,133.63930345645102,213.71129535663903,120.00000000000186,120.00000000000193,0.007883461868037704,0.03530419880034276,0.0,0.05398457583547558,0.01456726649528706,0.037532133676092545,0.8,0.8,0.8,0.8,0.8,0.8,0.14999999999999997,0.15,0.15,-0.019999999999999997,-0.02,-0.02,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0122613940160585,1.0,2.25
sim_out_20cross_withSched4,3.067034206118845,2.88226224970779,2.918591950810954,,46.44217795931783,45.121721830375186,50.13853109437866,,4.349847388752939,1.983785813688266,10.182000000000164,47.960525304992345,91.85425225611515,89.15547289568114,19.026163127140244,5.724493922060201,8.320075204810204,3.220342123669781,2.9262998383521874,1.4418223900439284,1.4492051260885248,18.791882580563943,10.0,140.79145211580746,212.41849527833057,120.00000000000186,120.00000000001322,0.0,0.03941730934018852,0.0,0.07215081405312768,0.007540702656383891,0.0416452442159383,0.6807613648189227,0.6400000000000001,1.08,0.7513160543031213,0.5760000000000001,0.976002988608299,0.15782781983854455,0.15,0.33,-0.02164676744224933,-0.03,-0.02,2.8335483274442326,2.16,3.9023956402353366,0.9445161091480775,0.7200000000000001,1.300798546745112,0.0,0.0,0.0,1.0,1.0,1.0,1.0257089620836726,0.8,1.05,1.0521854655902974,1.0,2.2,1.0151677644733743,1.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0123771388101692,1.0,2.25
