t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_deltaS_raw_cmd_deg,mpc_deltaD_raw_cmd_deg,mpc_filter_active,mpc_filter_steady,mpc_filter_alpha,mpc_filter_tau_s,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_yaw_cmd_deg,mpc_pitch_cmd_deg,mpc_roll_cmd_deg,mpc_heading_err_deg,mpc_pitch_err_deg,mpc_roll_err_deg,mpc_best_cost,mpc_reused,mpc_deltaS_cmd_deg,mpc_deltaD_cmd_deg,psi_cmd_deg,theta_cmd_deg,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,LD
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,21.213203435596427,-11.46355078491196,-15.845881126483613,275.62500000000006,0.0,0.0,10.0,0.0,0.0,0.0,2.199686467443413,3.085714285714285,1.0,-0.8398345112800598,0.047353152309656144,0.023887738585472107,-0.01107999961823225,0.2941686809062958,-0.013795983046293259,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.519875822818047,-7.181772359021101,109.45423521703384,-2.910390424720827,7.5820668682787,-3.6237994892592544,,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,1.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,5.132601757367965,7.199999999999999,1.0,0.0,0.4285714285714285,0.08,0.0,0.0,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,50.0,3.0,22.5,50.0,3.0,12.5,40874.70030218594,0,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.0,3.0,-10.0,0.0,0.0,0.0,-0.0,-17.735556564178363
0.006,0.12007622472730313,-0.00011521747552438733,-0.017351918927961063,20.0249745174726,-0.03803405095786565,-2.785350469186407,21.196248975632002,-10.785723372826057,-15.838481227072284,275.1845945151507,-0.009281636706808307,0.0660403981580547,9.996362272189527,-0.02077623298654391,0.36387881435165315,-0.11940966452369009,2.199686467443413,3.085714285714285,1.0,-0.7964398264884949,0.04447697860479355,0.024204272776842117,-0.010021130085727043,0.27080474927837156,-0.01347290747266182,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.671040928243006,-6.674085594436308,103.77713240422807,-2.628050570120828,6.968719185993914,-3.533282360553771,,0.0,21.196248975632006,-10.785723372826055,-15.838481227072283,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-1.1903904643094478,20.848720316574134,-6.841669810280476,21.196248975632006,-10.785723372826055,-15.838481227072283,50.0,3.0,22.50417673651807,50.00928163670682,2.9339596018419454,12.507814464328533,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.00928163670682,2.9339596018419454,-9.996362272189515,-1.1903904643094478,20.848720316574134,-6.841669810280476,0.017351918927961063,-17.906787993972635
0.012,0.2402945285932408,-0.0004515605339885453,-0.03344234527977822,20.04736880969047,-0.07364862825783117,-2.5797587090470406,21.180488578591984,-10.014335590406484,-15.78681429928375,274.77552156206764,-0.037719083474236546,0.2570068636289156,9.98588594461053,-0.0393131476072969,0.696179537739779,-0.23571086997063406,2.199686467443413,3.085714285714285,1.0,-0.7449924349784851,0.04134499294042587,0.02446766570210457,-0.008870847025898087,0.24618601350571562,-0.013052317405553635,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.674718530723824,-6.110560431919481,97.07275629845296,-2.3229295121812554,6.325778591836541,-3.4178938285375344,,0.0,21.180488578591984,-10.014335590406484,-15.786814299283746,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-2.252477437272943,39.88814929585795,-13.505238034674267,21.180488578591984,-10.014335590406484,-15.786814299283746,50.0,3.0,22.516973587563403,50.03771908347423,2.7429931363710844,12.531087642952883,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.03771908347423,2.7429931363710844,-9.985885944610516,-2.252477437272943,39.88814929585795,-13.505238034674267,0.03344234527977822,-18.018927613603587
0.018000000000000002,0.3606396295411371,-0.0009935009220783466,-0.04833010211524972,20.067254964797467,-0.10651841502586165,-2.3846903879847985,21.165933996487688,-9.165009365910912,-15.691964647035057,274.3980166904999,-0.0861511999880837,0.5617416882570381,9.969185037210345,-0.055402052708498115,0.9954728360300703,-0.34827776782819375,2.199686467443413,3.085714285714285,1.0,-0.6863284707069397,0.038081862156391144,0.024649113416671753,-0.007622724652845843,0.22059155346340562,-0.012528492345720097,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.620562717252144,-5.519416660572142,89.44010818914386,-1.993352481772301,5.660338680642354,-3.2762171595536813,,0.0,21.165933996487688,-9.165009365910912,-15.691964647035057,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-3.174303796558273,57.03639212444166,-19.954846194792665,21.165933996487688,-9.165009365910912,-15.691964647035057,50.0,3.0,22.538768039994636,50.08615119998808,2.438258311742962,12.569583002784299,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.08615119998808,2.438258311742962,-9.969185037210337,-3.174303796558273,57.03639212444166,-19.954846194792665,0.04833010211524972,-18.02245036990019
0.024,0.48109677447883376,-0.0017237859322812524,-0.062082247756064135,20.084736259782208,-0.1363960833828935,-2.201411926318924,21.152566216065043,-8.253189673584098,-15.555413428244163,274.0515227340725,-0.15528425866635978,0.9686276385122619,9.946825848723394,-0.06883060621668817,1.2607750350848206,-0.4563575921903712,2.199686467443413,3.085714285714285,1.0,-0.6216945052146912,0.03482719150662422,0.024720462039113045,-0.006272606234583705,0.1943888951643798,-0.011899673067714283,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.59750591103308,-4.927869905118978,81.03321679739979,-1.6382234774642528,4.981684752060658,-3.1078507186052287,,0.0,21.152566216065043,-8.253189673584098,-15.555413428244163,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-3.9437032375431587,72.23708842581851,-26.147363981260646,21.152566216065043,-8.253189673584098,-15.555413428244163,50.0,3.0,22.569877916399868,50.15528425866637,2.031372361487738,12.623052067676468,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.15528425866637,2.031372361487738,-9.946825848723392,-3.9437032375431587,72.23708842581851,-26.147363981260646,0.062082247756064135,-17.850836611285274
0.03,0.6016519075557345,-0.002623938635651462,-0.07477266623361675,20.099940577118055,-0.16312175286828778,-2.030923454052344,21.140335411980768,-7.293755995626833,-15.379065332856134,273.734691065267,-0.24561755692589646,1.4657503173576027,9.91934046478834,-0.07938874944311021,1.4916428483545876,-0.5591153448191335,2.199686467443413,3.085714285714285,1.0,-0.5526121854782104,0.03171437618613243,0.02465847320854664,-0.0048199213537228405,0.16800195490699946,-0.011169356739426062,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.686781147191485,-4.360016572807773,72.04403641195003,-1.2573688376323555,4.300478153538783,-2.913740716890717,,0.0,21.140335411980768,-7.293755995626833,-15.379065332856134,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-4.548640283911779,85.46483975159055,-32.03494951913807,21.140335411980768,-7.293755995626833,-15.379065332856134,50.0,3.0,22.610527900616646,50.24561755692588,1.5342496826423973,12.691187435828311,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.24561755692588,1.5342496826423973,-9.919340464788348,-4.548640283911779,85.46483975159055,-32.03494951913807,0.07477266623361675,-17.424658843513626
0.036,0.7222917933493623,-0.0036747883038175276,-0.08648035203058196,20.11301196332029,-0.18662325761342574,-1.8739263804425317,21.129165072339475,-6.300714090943414,-15.16524260560409,273.44549020067944,-0.35738389808901294,2.0410873441129875,9.887244937951014,-0.08687667734370244,1.6882129820360905,-0.6556913206812804,2.199686467443413,3.085714285714285,1.0,-0.48066431283950806,0.028852237512469292,0.024448353797197342,-0.003268820053129553,0.14186068675052163,-0.010347272803879256,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.955688687910371,-3.8351526493586006,62.67487723836422,-0.8518334290209479,3.627483064224584,-2.6964325751443665,,0.0,21.129165072339475,-6.300714090943414,-15.165242605604087,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-4.97766694991397,96.72747878986304,-37.5683453383964,21.129165072339475,-6.300714090943414,-15.165242605604087,50.0,3.0,22.660822754140057,50.35738389808901,0.9589126558870125,12.773577816189032,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.35738389808901,0.9589126558870125,-9.88724493795101,-4.97766694991397,96.72747878986304,-37.5683453383964,0.08648035203058196,-16.65951601264116
0.041999999999999996,0.8430040849486091,-0.004856973748326441,-0.09728762255242554,20.1241008835744,-0.20690716489345667,-1.7308311063614044,21.118958765533225,-5.287007692112123,-14.916646715582285,273.1813818459293,-0.4905120405119914,2.682703774869758,9.85106069933061,-0.09111490580117329,1.8511756161230684,-0.7452687069528291,2.199686467443413,3.085714285714285,1.0,-0.4073023796081543,0.026316976298689843,0.02408561483025551,-0.0016296405945986788,0.11635261353435347,-0.00945001620246544,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.453954641952716,-3.366951347294538,53.113365700961005,-0.4242636584760886,2.972349067268131,-2.4602347658771015,,0.0,21.118958765533225,-5.287007692112123,-14.916646715582282,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-5.22049955313929,106.06454994138164,-42.70075151156926,21.118958765533225,-5.287007692112123,-14.916646715582282,50.0,3.0,22.720730418230396,50.49051204051199,0.3172962251302418,12.869669718899786,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.49051204051199,0.3172962251302418,-9.851060699330617,-5.22049955313929,106.06454994138164,-42.70075151156926,0.09728762255242554,-15.476792431827791
0.047999999999999994,0.9637773330258574,-0.006151372613033184,-0.10727847278683392,20.133354537245474,-0.22404375469506124,-1.6017940489484808,21.109607254623004,-4.2644411239735,-14.636291220864923,272.9395050472147,-0.6446168928970101,3.3789334585654256,9.811336061443683,-0.09195799488838437,1.9816944660174074,-0.827146224262898,2.199686467443413,3.085714285714285,1.0,-0.33373409509658813,0.024155192201137543,0.02357601933181286,7.857738048798078e-05,0.09178968217076694,-0.008500914643922167,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.2129614682161,-2.963483589911233,43.51755226476205,0.02043886838539622,2.3427871653064454,-2.211184369898781,,0.0,21.109607254623004,-4.2644411239735,-14.636291220864926,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-5.268804999590022,113.54272918722879,-47.391987690445546,21.109607254623004,-4.2644411239735,-14.636291220864926,50.0,3.0,22.790077601803652,50.644616892897005,-0.3789334585654256,12.978741540359977,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.644616892897005,-0.3789334585654256,-9.811336061443683,-5.268804999590022,113.54272918722879,-47.391987690445546,0.10727847278683392,-13.816246723173313
0.05399999999999999,1.0846009403782622,-0.007539432990188494,-0.11653719634773609,20.140908562134516,-0.23815012303724273,-1.4867666051212047,21.100994189334468,-3.2436778019771024,-14.327411108374354,272.7168229142253,-0.8190198494982672,4.118531930420095,9.768663019871832,-0.08931335370785352,2.0812960605289956,-0.9008063232197041,2.199686467443413,3.085714285714285,1.0,-0.26090294122695923,0.02239252080500126,0.022933894768357277,0.0018253584375571565,0.06839468910954061,-0.007528560212703136,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.247247684773525,-2.6278386210144338,34.01276416188056,0.4744090739430597,1.7442425592658932,-1.9566662662774816,,0.0,21.100994189334468,-3.2436778019771024,-14.327411108374358,0.0,3.0,35.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,2.199686467443413,3.085714285714285,1.0,0.0,0.4285714285714285,0.08,-5.117278221619109,119.24948018551618,-51.61240047918653,21.100994189334468,-3.2436778019771024,-14.327411108374358,50.0,3.0,22.86855893227422,50.81901984949826,-1.1185319304200947,13.099895912402388,,1,2.199686467443413,3.085714285714285,50.0,3.0,0.0,50.81901984949826,-1.1185319304200947,-9.768663019871838,-5.117278221619109,119.24948018551618,-51.61240047918653,0.11653719634773609,-11.65134303095915
