t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_deltaS_raw_cmd_deg,mpc_deltaD_raw_cmd_deg,mpc_filter_active,mpc_filter_steady,mpc_filter_alpha,mpc_filter_tau_s,mpc_hold_rule_active,mpc_cmd_change_norm_deg,mpc_improvement_frac,mpc_hold_cost,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_yaw_cmd_deg,mpc_pitch_cmd_deg,mpc_roll_cmd_deg,mpc_heading_err_deg,mpc_pitch_err_deg,mpc_roll_err_deg,mpc_best_cost,mpc_reused,mpc_deltaS_cmd_deg,mpc_deltaD_cmd_deg,psi_cmd_deg,theta_cmd_deg,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,LD
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,21.213203435596427,-11.46355078491196,-15.845881126483613,275.62500000000006,0.0,0.0,10.0,0.0,0.0,0.0,7.199999999999999,-7.199999999999999,1.0,-0.8637729287147522,0.052106253926754,0.033212244510650635,0.009297649376094341,0.2854597866535187,-0.016463061794638634,4.0,4.0,0.0,0.0,0.0,0.0,0.0,17.168028639120564,-8.354834353901932,112.6595486769491,2.442219372649561,7.35759899369093,-4.324362731011352,,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,1.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,0.0,0.0,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,50.0,3.0,22.5,50.0,3.0,12.5,58463.337611964744,0,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.0,3.0,-10.0,0.0,0.0,0.0,-0.0,-16.57714503769474
0.006,0.12007452758389427,-0.00012295707632190315,-0.017338277256439282,20.0243897713336,-0.04062171935880006,-2.7807435894413985,21.195272168574444,-10.771850907261362,-15.841473565608585,275.15923190871723,-0.013527267705360923,0.06507437522430605,10.003160623749224,0.01850226249598949,0.35478414040939754,-0.14276720745637764,7.199999999999999,-7.199999999999999,1.0,-0.8222618699073792,0.04970921960949898,0.033527206629514694,0.009514589562408998,0.26542844675599647,-0.01617362892926079,4.0,4.0,0.0,0.0,0.0,0.0,0.0,15.243523390587612,-7.82318050060567,107.22442528266342,2.4949798795909572,6.82973927014962,-4.241158117624463,,0.0,21.195272168574444,-10.771850907261362,-15.841473565608586,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,1.060101552463386,20.327633883635283,-8.179958440119096,21.195272168574444,-10.771850907261362,-15.841473565608586,50.0,3.0,22.506087270467418,50.01352726770537,2.934925624775694,12.502926646718208,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.01352726770537,2.934925624775694,-10.003160623749238,1.060101552463386,20.327633883635283,-8.179958440119096,0.017338277256439282,-16.541435901968022
0.012,0.2402872854230085,-0.00048274908146587016,-0.033386322023618326,20.046086374555095,-0.07889102890079946,-2.570178211562823,21.178461745486054,-9.983759672742101,-15.787147655744912,274.7229356668224,-0.054425492185051036,0.25419896569804606,10.012664026375857,0.03757287343074332,0.6829120410527693,-0.2820979876406766,7.199999999999999,-7.199999999999999,1.0,-0.7727691531181335,0.04698894185304642,0.0338023416697979,0.009867212179023185,0.24464804315919425,-0.015794277471981248,4.0,4.0,0.0,0.0,0.0,0.0,0.0,13.170802915025359,-7.236358538826821,100.76822729695682,2.5833442703252456,6.285057213017451,-4.135114910968611,,0.0,21.178461745486054,-9.983759672742101,-15.787147655744912,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,2.1527670717608185,39.12797773098849,-16.16302410094443,21.178461745486054,-9.983759672742101,-15.787147655744912,50.0,3.0,22.524491471483277,50.05442549218506,2.745801034301954,12.511827445107429,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.05442549218506,2.745801034301954,-10.012664026375859,2.1527670717608185,39.12797773098849,-16.16302410094443,0.033386322023618326,-16.445766230167468
0.018000000000000002,0.3606223304355489,-0.0010643369763135369,-0.04820080111436396,20.0651686527066,-0.11450817533609793,-2.3697929266883677,21.162804094903752,-9.113390740460558,-15.683602134965007,274.31686976005597,-0.12290177024604362,0.5580165137684405,10.0284961022606,0.05754636617862882,0.9837577063248455,-0.4168946185444765,7.199999999999999,-7.199999999999999,1.0,-0.7158501744270325,0.04401578021526337,0.034003108739852905,0.010387003220290172,0.22320332391348457,-0.015310752168065007,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.039590072637385,-6.622663572729357,93.3532156215025,2.7154116897274725,5.725662495452188,-4.0025977208200505,,0.0,21.162804094903752,-9.113390740460558,-15.683602134965007,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,3.2971639083498148,56.365164635883936,-23.886302144314886,21.162804094903752,-9.113390740460558,-15.683602134965007,50.0,3.0,22.55530579661072,50.122901770246045,2.4419834862315595,12.526809694350106,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.122901770246045,2.4419834862315595,-10.02849610226059,3.2971639083498148,56.365164635883936,-23.886302144314886,0.04820080111436396,-16.263489387808168
0.024,0.48106431111666836,-0.00185105098749935,-0.061846899983849554,20.081753969933633,-0.14723181385409934,-2.1809226383933735,21.148308489397618,-8.174626511504938,-15.532070644361761,273.94120807717053,-0.21877941546904775,0.9669195801790463,10.050613204438552,0.07881111569029195,1.256830699218328,-0.5459523539390098,7.199999999999999,-7.199999999999999,1.0,-0.6525457501411438,0.04089993623375893,0.03409169986844063,0.011104837927451297,0.20121952854823955,-0.014709608148942996,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.940310548585561,-6.009323321628957,85.10702656947976,2.899095299631873,5.154660469577094,-3.840178138810064,,0.0,21.148308489397618,-8.17462651150494,-15.532070644361761,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,4.51554430777099,72.0110946276864,-31.280765695937784,21.148308489397618,-8.17462651150494,-15.532070644361761,50.0,3.0,22.59845073696107,50.218779415469044,2.0330804198209536,12.547837532522522,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.218779415469044,2.0330804198209536,-10.050613204438548,4.51554430777099,72.0110946276864,-31.280765695937784,0.061846899983849554,-15.95468869221685
0.03,0.6015986771322024,-0.002824980287931246,-0.07439713224595554,20.09599034679274,-0.176890883424495,-2.004663746507063,21.13495585422072,-7.180781792140706,-15.334371587224904,273.5953948629135,-0.3414632749497568,1.4710978312173146,10.078988976458648,0.10180008447368732,1.5018219604315992,-0.6679659450760222,7.199999999999999,-7.199999999999999,1.0,-0.5842528343200684,0.03777509753882885,0.034032098948955536,0.012043236421154999,0.1788477926051393,-0.013979647712134544,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.956261742984996,-5.4200951795569825,76.20618789348495,3.140110244941877,4.5757779145815425,-3.64500317576112,,0.0,21.13495585422072,-7.180781792140706,-15.334371587224902,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,5.832715194417544,86.04805991279396,-38.271629511323425,21.13495585422072,-7.180781792140706,-15.334371587224902,50.0,3.0,22.6536584737274,50.341463274949774,1.5289021687826854,12.574669497268758,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.341463274949774,1.5289021687826854,-10.078988976458646,5.832715194417544,86.04805991279396,-38.271629511323425,0.07439713224595554,-15.466613520177349
0.036,0.7222118287353976,-0.0039674061379846495,-0.08592975406364259,20.108044264450346,-0.20338637336098947,-1.8418319773996088,21.122697432717814,-6.144382129029842,-15.092931586542026,273.2781124359131,-0.4899073598007272,2.060596517153906,10.113663897000787,0.1269667753265613,1.718618001821229,-0.7815497383082751,7.199999999999999,-7.199999999999999,1.0,-0.5124329924583435,0.034774311010837555,0.033795032650232315,0.013209006209095663,0.1562338728937561,-0.013113464193156425,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.156341287074678,-4.873358781288536,66.83818439921698,3.4400748666290504,3.99257072784129,-3.415192473318241,,0.0,21.122697432717814,-6.144382129029842,-15.09293158654203,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,7.274660364597717,98.46955809956324,-44.77950148461812,21.122697432717814,-6.144382129029842,-15.09293158654203,50.0,3.0,22.720458311910328,50.489907359800725,0.9394034828460942,12.60679441490953,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.489907359800725,0.9394034828460942,-10.113663897000777,7.274660364597717,98.46955809956324,-44.77950148461812,0.08592975406364259,-14.73596392171916
0.041999999999999996,0.8428911823813418,-0.005259207746590082,-0.09652710637662712,20.118085314787308,-0.2266805965930385,-1.6929810123243105,21.11145792097862,-5.077126993644516,-14.810780615121345,272.9873640239162,-0.6625911353841678,2.7253738563623964,10.154791655970643,0.15474935127487877,1.9072726296054237,-0.8852768033332258,7.199999999999999,-7.199999999999999,1.0,-0.43830275535583496,0.03201069322705269,0.03336118906736374,0.014588470020282983,0.1334902275975269,-0.012109844002117428,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.5914479064256373,-4.381414316801864,57.160953552394474,3.795291981107967,3.4077253807067227,-3.150460176413562,,0.0,21.111457920978616,-5.077126993644516,-14.810780615121352,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,8.866484710437978,109.27867205720908,-50.722624531826845,21.111457920978616,-5.077126993644516,-14.810780615121352,50.0,3.0,22.798166010922873,50.66259113538416,0.2746261436376036,12.643374354952243,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.66259113538416,0.2746261436376036,-10.154791655970655,8.866484710437978,109.27867205720908,-50.722624531826845,0.09652710637662712,-13.692385611487449
0.047999999999999994,0.9636251425549637,-0.006681175370396149,-0.10627422238171969,20.126270924174072,-0.24677819168897233,-1.55846712062498,21.10114098703212,-3.9900086971391544,-14.491519338938062,272.72061745969677,-0.8575139390114482,3.4553470999422764,10.202677081401903,0.1855286818924636,2.0679564097980117,-0.9777493296338138,7.199999999999999,-7.199999999999999,1.0,-0.36268478631973267,0.02957138990342617,0.032722797244787216,0.016145443215612672,0.11069503745503251,-0.010977646544349535,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.2956077316033463,-3.9511907727357,47.2831982173236,4.196245066505009,2.8230508014259863,-2.853120508269334,,0.0,21.10114098703212,-3.9900086971391544,-14.491519338938062,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,10.630010451063383,118.48517449845218,-56.02091000976304,21.10114098703212,-3.9900086971391544,-14.491519338938062,50.0,3.0,22.885881272555157,50.857513939011454,-0.4553470999422764,12.683204191153266,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,50.857513939011454,-0.4553470999422764,-10.202677081401902,10.630010451063383,118.48517449845218,-56.02091000976304,0.10627422238171969,-12.264718956538179
0.05399999999999999,1.084402991473101,-0.008214205564005391,-0.11525786378668494,20.132734793751528,-0.2637073063986121,-1.4385201591510155,21.09163449730379,-2.8934746105259905,-14.139255224134097,272.4749405328114,-1.0722199663846355,4.2404286001237015,10.257800742263171,0.21958515939999992,2.2009236141058617,-1.0577113763442618,7.199999999999999,-7.199999999999999,1.0,-0.2860878109931946,0.02752274287223816,0.03188463672995567,0.017821538987246147,0.08792440617073556,-0.009740147538958518,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.28979539305635,-3.5857743822046757,37.27440379381581,4.627694405292679,2.240312389762616,-2.5292106537499803,,0.0,21.09163449730379,-2.8934746105259905,-14.139255224134098,0.0,4.0,25.0,0.06,0.06,4.0,3.0,0.8,0.2,0.35,7.199999999999999,-7.199999999999999,0.0,0.0,1.0,0.0,0.0,10.182337649086284,0.032744367299410534,60442.48866117677,12.581302877327431,126.10363411894573,-60.60239780749966,21.09163449730379,-2.8934746105259905,-14.139255224134098,50.0,3.0,22.982498984873086,51.07221996638464,-1.2404286001237015,12.724698242609918,,1,7.199999999999999,-7.199999999999999,50.0,3.0,0.0,51.07221996638464,-1.2404286001237015,-10.257800742263157,12.581302877327431,126.10363411894573,-60.60239780749966,0.11525786378668494,-10.394596654891098
