t,x,y,z,vx,vy,vz,V,alpha_deg,beta_deg,qbar,yaw_deg,pitch_deg,roll_deg,p,q,r,deltaS_deg,deltaD_deg,throttle,CL,CD,CY,Cl,Cm,Cn,T_N,Ftx_b,Fty_b,Ftz_b,Lthr_b,Mthr_b,Nthr_b,Ftotx_b,Ftoty_b,Ftotz_b,Ltot_b,Mtot_b,Ntot_b,mpc_yaw_cmd_deg_x,mpc_pitch_cmd_deg_x,mpc_roll_cmd_deg_x,mpc_alpha_cmd_deg,mpc_beta_cmd_deg,mpc_heading_err_deg_x,mpc_pitch_err_deg_x,mpc_roll_err_deg_x,mpc_V_ctrl,mpc_alpha_ctrl_deg,mpc_beta_ctrl_deg,mpc_best_cost_x,mpc_reused_x,mpc_deltaS_cmd_deg_x,mpc_deltaD_cmd_deg_x,mpc_control_update,mpc_horizon,mpc_num_candidates,mpc_pred_dt,mpc_control_period_s,mpc_Q_heading,mpc_Q_pitch,mpc_Q_roll,mpc_Q_alpha,mpc_Q_beta,mpc_best_cost_y,mpc_reused_y,mpc_deltaS_cmd_deg_y,mpc_deltaD_cmd_deg_y,mpc_heading_err_deg_y,mpc_pitch_err_deg_y,mpc_roll_err_deg_y,mpc_p_deg_s,mpc_q_deg_s,mpc_r_deg_s,mpc_V,mpc_alpha_deg,mpc_beta_deg,mpc_yaw_cmd_deg_y,mpc_pitch_cmd_deg_y,mpc_roll_cmd_deg_y,psi_cmd_deg,theta_cmd_deg,roll_cmd_deg,hdg_err_deg,pitch_err_deg,roll_err_deg,p_deg_s,q_deg_s,r_deg_s,altitude_m,LD
0.0,0.0,0.0,0.0,20.0,0.0,-3.0,21.213203435596427,-11.46355078491196,-15.845881126483613,275.62500000000006,0.0,0.0,10.0,0.0,0.0,0.0,-4.812458021212969,4.788973848563593,1.0,-0.769214928150177,0.04459219438314438,0.02393196150660515,-0.010925192385911942,0.2473064363002777,-0.0133155332878232,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.156850142858108,-6.793067768488944,100.28115827791005,-2.8697271122527312,6.37421336359632,-3.4975994509208252,50.0,3.0,0.0,,0.0,50.0,3.0,-10.0,21.213203435596427,-11.46355078491196,-15.845881126483613,10818.802886269175,0.0,-4.812458021212969,4.788973848563593,1.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,10818.802886269175,0,-4.812458021212969,4.788973848563593,50.0,3.0,-10.0,0.0,0.0,0.0,21.213203435596427,-11.46355078491196,-15.845881126483613,50.0,3.0,0.0,50.0,3.0,0.0,50.0,3.0,-10.0,0.0,0.0,0.0,-0.0,-17.249990470102013
0.006,0.12007030984602844,-0.00010641297983573472,-0.017392131808264388,20.02303978276391,-0.0351169505607768,-2.798718557694472,21.19675033216016,-10.834768048672096,-15.837266992496922,275.19761259440827,-0.010351369242649375,0.055800619699253366,9.996409022975307,-0.020527065799220028,0.3044679596885926,-0.11519382204160973,-4.812458021212969,4.788973848563593,1.0,-0.726995050907135,0.041969023768901825,0.02419612929224968,-0.00992795330807797,0.22542847383603953,-0.012993027494398178,4.0,4.0,0.0,0.0,0.0,0.0,0.0,14.482441878226116,-6.3301356872380365,94.75550961730393,-2.6037380430602193,5.801309065863559,-3.407594589930786,50.0,3.0,0.0,,0.0,50.01035136924264,2.9441993803007467,-9.996409022975314,21.19675033216016,-10.834768048672096,-15.837266992496922,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.01035136924264,2.9441993803007467,-9.996409022975314,-1.1761142360826438,17.444729087115636,-6.600119828965314,21.19675033216016,-10.834768048672096,-15.837266992496922,50.0,3.0,0.0,50.0,3.0,0.0,50.01035136924264,2.9441993803007467,-9.996409022975314,-1.1761142360826438,17.444729087115636,-6.600119828965314,0.017392131808264388,-17.322181590647894
0.012,0.2402717653427192,-0.0004168517579583689,-0.033601982686155094,20.04372589679298,-0.06796248508213128,-2.6061038956505254,21.181392415832732,-10.131343877878262,-15.786116201711897,274.7989731125166,-0.04190938333738094,0.21652669695333446,9.986043143229539,-0.03898609453665514,0.5795819105216284,-0.22729273346886508,-4.812458021212969,4.788973848563593,1.0,-0.6785570979118347,0.03919516516208649,0.024388935416936874,-0.008882011752604843,0.20262211107815598,-0.012585840005212776,4.0,4.0,0.0,0.0,0.0,0.0,0.0,12.712421430316395,-5.824717835459139,88.43800899923083,-2.3260516264760263,5.206843347632875,-3.2960228414589285,50.0,3.0,0.0,,0.0,50.041909383337384,2.7834733030466654,-9.986043143229551,21.181392415832732,-10.131343877878262,-15.786116201711897,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.041909383337384,2.7834733030466654,-9.986043143229551,-2.233738676648376,33.20759735501823,-13.02291434175788,21.181392415832732,-10.131343877878262,-15.786116201711897,50.0,3.0,0.0,50.0,3.0,0.0,50.041909383337384,2.7834733030466654,-9.986043143229551,-2.233738676648376,33.20759735501823,-13.02291434175788,0.033601982686155094,-17.31226530378812
0.018000000000000002,0.36059046828487595,-0.0009169222185414783,-0.04868494408256377,20.062137891022747,-0.09829245030978254,-2.423256649312858,21.167124557978745,-9.366979119524952,-15.693547880944045,274.42888675745445,-0.09537454133135727,0.4718472780163907,9.969456778828222,-0.055259238103216625,0.8243405746356466,-0.3357590402650479,-4.812458021212969,4.788973848563593,1.0,-0.6248363852500916,0.03637058113992214,0.024488940834999084,-0.007781988603526836,0.17919499639333042,-0.012092365169429199,4.0,4.0,0.0,0.0,0.0,0.0,0.0,10.918468438229255,-5.29973450946175,81.44291839358836,-2.035229153171489,4.59862793406931,-3.162525079060652,50.0,3.0,0.0,,0.0,50.09537454133135,2.5281527219836093,-9.969456778828231,21.16712455797874,-9.366979119524954,-15.693547880944053,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.09537454133135,2.5281527219836093,-9.969456778828231,-3.166121122422817,47.23123580801159,-19.237575940550315,21.16712455797874,-9.366979119524954,-15.693547880944053,50.0,3.0,0.0,50.0,3.0,0.0,50.09537454133135,2.5281527219836093,-9.969456778828231,-3.166121122422817,47.23123580801159,-19.237575940550315,0.04868494408256377,-17.17971958837469
0.024,0.4810130805637094,-0.001590970740762652,-0.06270243425074638,20.078381838021677,-0.12593199918312348,-2.2510785806164333,21.15391843588852,-8.555052586077192,-15.561003464644509,274.0865624302374,-0.17132192604639349,0.8111249054751704,9.947138998274596,-0.06922404664102928,1.038188705626182,-0.43997862635801677,-4.812458021212969,4.788973848563593,1.0,-0.5669754147529602,0.033595845227241516,0.02447730302810669,-0.006622932641399839,0.15549416695682777,-0.011513977047221333,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.167986745978705,-4.776457361206081,73.91274561962715,-1.729939769366544,3.9854229414303566,-3.007502548501193,50.0,3.0,0.0,,0.0,50.1713219260464,2.1888750945248296,-9.947138998274596,21.153918435888517,-8.555052586077192,-15.561003464644513,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.1713219260464,2.1888750945248296,-9.947138998274596,-3.9662457133477407,59.48383117053005,-25.20891836627776,21.153918435888517,-8.555052586077192,-15.561003464644513,50.0,3.0,0.0,50.0,3.0,0.0,50.1713219260464,2.1888750945248296,-9.947138998274596,-3.9662457133477407,59.48383117053005,-25.20891836627776,0.06270243425074638,-16.876355124211095
0.03,0.6015269630245368,-0.002422509700389223,-0.07572060515136282,20.09258342850527,-0.15077787147485217,-2.090242624753266,21.141724296803897,-7.708355103231978,-15.3902558785948,273.7706600732668,-0.27014554811398755,1.2235702890841083,9.919529263025916,-0.08075579440105404,1.2210509401420717,-0.5392959556394468,-4.812458021212969,4.788973848563593,1.0,-0.5062180757522583,0.030960677315592766,0.024340307340025902,-0.005401899824080477,0.13188070957265172,-0.010855796389342762,4.0,4.0,0.0,0.0,0.0,0.0,0.0,7.519744792321376,-4.273146159806806,66.00480315356727,-1.4093742415052317,3.376297822173886,-2.8323146116041804,50.0,3.0,0.0,,0.0,50.27014554811399,1.7764297109158917,-9.919529263025908,21.141724296803897,-7.708355103231978,-15.390255878594806,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.27014554811399,1.7764297109158917,-9.919529263025908,-4.6269661904066,69.96106544062202,-30.899382166614767,21.141724296803897,-7.708355103231978,-15.390255878594806,50.0,3.0,0.0,50.0,3.0,0.0,50.27014554811399,1.7764297109158917,-9.919529263025908,-4.6269661904066,69.96106544062202,-30.899382166614767,0.07572060515136282,-16.350355342430156
0.036,0.7221202705918972,-0.0033946391490417087,-0.08780893561829274,20.104880366607034,-0.17279482859098516,-1.9411855421281512,21.130474778664077,-6.838886823193268,-15.183396349952758,273.4793906777022,-0.39201628266363564,1.6984050439887883,9.887036608361349,-0.08973270896964533,1.3733296852899128,-0.6330565448160239,-4.812458021212969,4.788973848563593,1.0,-0.4437851905822754,0.028535548721551895,0.02407117187976837,-0.004119504616436477,0.10870044635787185,-0.010127197601283153,4.0,4.0,0.0,0.0,0.0,0.0,0.0,6.020597205690073,-3.804130990074508,57.87513627822805,-1.0736494306143687,2.7798956979286142,-2.639409577295839,50.0,3.0,0.0,,0.0,50.39201628266363,1.3015949560112117,-9.887036608361342,21.130474778664077,-6.838886823193268,-15.183396349952762,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.39201628266363,1.3015949560112117,-9.887036608361342,-5.141305508236384,78.68599484714159,-36.271468211092625,21.130474778664077,-6.838886823193268,-15.183396349952762,50.0,3.0,0.0,50.0,3.0,0.0,50.39201628266363,1.3015949560112117,-9.887036608361342,-5.141305508236384,78.68599484714159,-36.271468211092625,0.08780893561829274,-15.55201180508928
0.041999999999999996,0.8427820010105799,-0.004490431151361346,-0.09903884896734766,20.115414632056048,-0.19200702756314714,-1.8041226968216404,21.120089779313755,-5.957730436787068,-14.942799762826048,273.2106427753424,-0.536857199480951,2.225020443655233,9.850060396642979,-0.09604426988616017,1.4958673602119588,-0.7206540202990149,-4.812458021212969,4.788973848563593,1.0,-0.3807715177536011,0.026369022329449654,0.023670611903071404,-0.0027817673529424262,0.08625943023825744,-0.009341974541768265,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.703874704477073,-3.3794338638370265,49.66505637357774,-0.7242880495610666,2.2038232914087716,-2.4323675064880654,50.0,3.0,0.0,,0.0,50.53685719948095,0.7749795563447668,-9.850060396642988,21.120089779313755,-5.957730436787068,-14.942799762826052,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.53685719948095,0.7749795563447668,-9.850060396642988,-5.502931310892405,85.70688645152089,-41.29043385226871,21.120089779313755,-5.957730436787068,-14.942799762826052,50.0,3.0,0.0,50.0,3.0,0.0,50.53685719948095,0.7749795563447668,-9.850060396642988,-5.502931310892405,85.70688645152089,-41.29043385226871,0.09903884896734766,-14.44010752451542
0.047999999999999994,0.9635019986863838,-0.005693252113104397,-0.10948246913915596,20.124325374196555,-0.20848636772754356,-1.679077966073813,21.110481204600358,-5.074991660516591,-14.671071285013253,272.96210522249334,-0.7043387164243446,2.793121737041467,9.809009863183803,-0.0996030594369801,1.5898823767609662,-0.8015780012578613,-4.812458021212969,4.788973848563593,1.0,-0.3180904984474182,0.0244905055809021,0.0231463760137558,-0.0014020699797080787,0.06480820488651437,-0.008518019039336367,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.589452782188417,-3.0049128224630843,41.493722689414774,-0.364724510583848,1.6542643915470705,-2.2158168780653162,50.0,3.0,0.0,,0.0,50.70433871642433,0.20687826295853284,-9.809009863183803,21.110481204600358,-5.074991660516591,-14.671071285013253,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.70433871642433,0.20687826295853284,-9.809009863183803,-5.706834932329645,91.0935501106316,-45.92703642260764,21.110481204600358,-5.074991660516591,-14.671071285013253,50.0,3.0,0.0,50.0,3.0,0.0,50.70433871642433,0.20687826295853284,-9.809009863183803,-5.706834932329645,91.0935501106316,-45.92703642260764,0.10948246913915596,-12.98831897923201
0.05399999999999999,1.0842709194682416,-0.006987011951889878,-0.1192115780571097,20.131743083697312,-0.2223400930048347,-1.5659194815531832,21.10155675261712,-4.199787464313675,-14.370978121591536,272.7313646476518,-0.8938939215546571,3.3928509383020926,9.764319105752325,-0.10035997627363419,1.656890746759818,-0.8754571017210369,-4.812458021212969,4.788973848563593,1.0,-0.2564632296562195,0.022915544112324715,0.022511817514896393,-2.7227896507509616e-06,0.04453545860380476,-0.00767624546587659,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.6850471314717907,-2.682739296415999,33.45635551130301,-0.0007076884006542157,1.1358306525112605,-1.9951559149187648,50.0,3.0,0.0,,0.0,50.89389392155465,-0.3928509383020926,-9.764319105752321,21.10155675261712,-4.199787464313675,-14.370978121591536,,1.0,-4.812458021212969,4.788973848563593,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-4.812458021212969,4.788973848563593,50.89389392155465,-0.3928509383020926,-9.764319105752321,-5.750203072512318,94.93284690361685,-50.15999707337061,21.10155675261712,-4.199787464313675,-14.370978121591536,50.0,3.0,0.0,50.0,3.0,0.0,50.89389392155465,-0.3928509383020926,-9.764319105752321,-5.750203072512318,94.93284690361685,-50.15999707337061,0.1192115780571097,-11.191670963565963
0.05999999999999999,1.2050801653014345,-0.008356340906881858,-0.12829678666363964,20.13778542729117,-0.23369928941901333,-1.4643941439652848,21.09322253598124,-3.340264587089775,-14.045371497983497,272.51597263336146,-1.104751712749789,4.014884326982602,9.716454372759847,-0.09832127181450845,1.6986228058737203,-0.9420900182636298,-11.415805131620527,4.268732440130076,1.0,-0.1267087459564209,0.02252943453669548,0.022970376536250114,0.0060175398016176825,-0.027928284810004984,-0.006837604262140715,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.3438208394472637,-2.409397391708226,16.592676750863056,1.5628015534386106,-0.711719388965683,-1.7757786263082678,50.0,3.0,0.0,,0.0,51.10475171274979,-1.0148843269826022,-9.716454372759841,21.093222535981244,-3.3402645870897745,-14.045371497983494,12239.673259152543,0.0,-11.415805131620527,4.268732440130076,1.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,12239.673259152543,0,-11.415805131620527,4.268732440130076,51.10475171274979,-1.0148843269826022,-9.716454372759841,-5.633393911329912,97.32391776123391,-53.97778196790863,21.093222535981244,-3.3402645870897745,-14.045371497983494,50.0,3.0,0.0,50.0,3.0,0.0,51.10475171274979,-1.0148843269826022,-9.716454372759841,-5.633393911329912,97.32391776123391,-53.97778196790863,0.12829678666363964,-5.6241423081453865
0.06599999999999999,1.3259163229028441,-0.009779872063265528,-0.13684600995554916,20.140744260750708,-0.24045898251371267,-1.387075634238918,21.085167086756183,-2.5518181317772903,-13.697376316456305,272.3078660343111,-1.337900408356752,4.639123948976894,9.667299574497422,-0.08481149159163516,1.6503201864459365,-1.0012657969136727,-11.415805131620527,4.268732440130076,1.0,-0.07240766286849976,0.021864747752547264,0.02208496443927288,0.007087929515376795,-0.04329469892043623,-0.006041042909006274,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9619936133151898,-2.2085026437832624,9.509161931540785,1.839384309769972,-1.1024717784014966,-1.5677073985240646,50.0,3.0,0.0,,0.0,51.337900408356745,-1.639123948976894,-9.667299574497434,21.085167086756183,-2.5518181317772903,-13.697376316456305,,1.0,-11.415805131620527,4.268732440130076,0.0,3.0,20.0,0.06,0.06,1.0,3.0,0.25,0.15,0.5,,1,-11.415805131620527,4.268732440130076,51.337900408356745,-1.639123948976894,-9.667299574497434,-4.859340522409964,94.55638152859528,-57.36830433395645,21.085167086756183,-2.5518181317772903,-13.697376316456305,50.0,3.0,0.0,50.0,3.0,0.0,51.337900408356745,-1.639123948976894,-9.667299574497434,-4.859340522409964,94.55638152859528,-57.36830433395645,0.13684600995554916,-3.3116166574601436
